name,comment,image
skrrraah,Kak di manado ya?? Mau titip pisang ambon,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/272688379_161500629545274_2301313015534640775_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=itnRFSTxP9wAX-ubC6E&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT8a5ZDeUR5Bp2nVY80rLHCSzKbkTBTnXpUz2in8Ety4wg&oe=6247881A&_nc_sid=705020
littlediana01,"Hai ka, kalo lagi cari penginapan dijogja yg bisa muat sampe 12 org boleh cek ig kami yah😊 @guesthouse_yk 650k/ Malam. Full interior",https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/269894251_679694816743897_585806978134689834_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=PESWz13ScmgAX_jCoxL&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT8mxbQnqTs_puXunUFveav9ZKc-FBqyarKIshzYmckjIA&oe=62489067&_nc_sid=705020
azkaananya,❤️,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/273636092_1067458797148172_5388151595866110899_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=LduNl3XU6qwAX_MY9I2&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT8tIAgqGpa159WuCmeOB_93TQ6RyPA5yNio1cHFMv9VGg&oe=62477A6F&_nc_sid=705020
rizafxx,Aw,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/277274936_506184101122595_8962553454492328523_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=8l4wzHfH3GMAX9XGfNl&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT9nQGrrCxFBpaCNADMhHEOSrIgOGo3vTXxwXRbV6JF-Zg&oe=62486B43&_nc_sid=705020
zuzuaulia,Cuma karin yang bisa bikin spot yang keliatan 'biasa' ketika dipake orang lain jd keliatan 'luar biasa',https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/122820693_393658718666884_7538132944322305938_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=xNDwGe_SXz8AX8LaOvs&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT-HXduHVknc5pwUjbcx2YQyD1UVO1JwcdsRmH8bcsGxAg&oe=62490445&_nc_sid=705020
santipalebbangi,💚,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/275912399_113635817939144_8609606695805674268_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=lyd6ltfyh1MAX-X9Q5r&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT9HP8ND2gBSyio2lgaUBFRCsU0tkcOLzadBkMjrQYJ-OQ&oe=6248A6EE&_nc_sid=705020
bebylash_beauty,Panutanquuuue🔥🔥🔥,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/236798435_946881839222238_4176545414960823214_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=K2xoVIneuzwAX9tRvcM&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT-oBVrznRT0YIB0ogkX4bBLV9M62OeWBBhKoPyOB-4RFg&oe=6248D4AF&_nc_sid=705020
_ruangr,Mantul mbak❤️❤️❤️,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/81977017_118646846127162_7809135101232545792_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=_-8bdbjCvCMAX-tZpqN&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT-XIjQOkV2ZiIxjJ0mHJ_LLcBiloYttUY-tFQsVd5CcAA&oe=6248EF88&_nc_sid=705020
petang_h,Padahal mah ni foto pas lg bete abis dibangunin mbakerr,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/11420470_523575707793476_1422963659_a.jpg?_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=O6ZVvvnM-UcAX_vJue6&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT9VY_oCSWRyg3lVgv-xCBmOC1pg2ZdproTA0sxS3J5RjA&oe=6247E797&_nc_sid=705020
lelelend_,Benda yg ada di dekat kakinya Kak Karin itu apa ya?,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/91468804_152047219441376_8256987172435918848_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=IIaiTN6_7kkAX9sgdVh&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT9leU6y9lQa13YsEggVx17cT7Wu2cAm8WUgIPYgD5qGyw&oe=6248DD2E&_nc_sid=705020
iismailsaid.2,Baru sekarang di upload,https://instagram.fcgk3-2.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ad=z-m&_nc_ht=instagram.fcgk3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=kLQ4jXKOCJIAX91i8Ea&edm=AJ9x6zYBAAAA&ccb=7-4&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4&oh=00_AT97J3Mgo0oYolWEdtuA_dZ7Wu7JglC1Sp_gAxMrJbkAsQ&oe=62485A4F&_nc_sid=cff2a4
fitri.nuraini23,Kapan karin ke jogja 😭😭 @awkarin,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/28436443_340955942978188_6307407766235381760_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=np_hcBbh8joAX_WSCyL&tn=Rkw20jy6S7RjaG9b&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT-hwCu7WC2fVKCR361JUMX4xRWP42_QsziiVvhT00p1bg&oe=624765C0&_nc_sid=705020
feliaanisa,asiyaap,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/275576832_540261943978006_5871825304373546020_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=JPEOjRKki6MAX-xK2dL&tn=Rkw20jy6S7RjaG9b&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT_QYqzbC4AYq5gwnTDnCxC_iFfHFdvIq5qZBC6PRT4w3A&oe=6247513B&_nc_sid=705020
este.manis,@anaahiar @baihakihmn ntar fotoin gua kaya gini ya,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/274365881_109379305013966_196191957496730409_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=Ln91ttqDidIAX9I1ThK&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT8PFqmi2_CNiHB8hfkLJjfdgamn-djA55MfrSl-tZGUQg&oe=624890CE&_nc_sid=705020
cacabocul_,Beb nanti lo di jogja foto begini ya @lidyanuraini,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/277151865_338674918286557_4226041300199840267_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=qkUWddzCUzoAX_qtjmE&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT8Uh6xSA3GKL7Sv-A77qnPcqB04ThyHSAHEYpWoemRdug&oe=6247E653&_nc_sid=705020
sjnndi,Ini mah Lana Del Rey😭😍,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/274612667_2002937163199079_254384308870497433_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=nZb5usiHZPoAX9b7ZU3&tn=Rkw20jy6S7RjaG9b&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT9BkJcvQP6IoYmKeyfgCeKKpezzbTW6Oxvmv_11ypKyWw&oe=624857B7&_nc_sid=705020
hhhcndsyg,🔥🔥🔥🔥👏👏👏👏,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/275395257_1160030594764521_6313926471252527520_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=Z5Hu3y7OTGYAX8_1oMk&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT_QVmSVnk1BlTXr6mj43KscYBwUYF2O2tIlXjAZ-6QGNg&oe=624802D1&_nc_sid=705020
kartikacndraaa,😍🔥🔥,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/277322172_1031114197819049_8194757103796358586_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=wpj2SbCdwR0AX-p65L1&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT9MPKweRLZXNzSNDsz6xyHMwQ2d3e6N0XuHJ0liVcgi9A&oe=6247392A&_nc_sid=705020
noviaartn_,Pass💙,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/172505762_322180839277781_4764606587939052906_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=7o3Dqf_PTJsAX9tlL8j&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT_xRbPAMkHEkIaKSs-WMs9Oj8Tmru5ghy-yp1TGNDWRjg&oe=6247E9DD&_nc_sid=705020
jessicael__,im dyinggg😍,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/277115137_2804298486546675_5272745996242152637_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=hdCInzmVFvcAX_-K3DQ&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT-DAvneVu85WMEFPFtz9oAIZLOy2yDTiQEUgpkYFTd-4g&oe=62488546&_nc_sid=705020
minymore.id,👈👈Sepatunya kaka🔥🔥,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/137572261_424119095670212_3963964484101843000_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=6Lqm2Di1hRoAX_1Vxve&tn=Rkw20jy6S7RjaG9b&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT8wgBCVj4v8aNKN2plg4luf03po62byaNjv3v5_PzHovw&oe=62473C6E&_nc_sid=705020
vioniretno24,Totalitas @ummikhasyati_ @whutymeidilla,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/269809021_130805642729752_3338481478336676696_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=gQD4VYDlEIoAX9ZpU53&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT9vStmTteI1Xx0OxoKTQ-7oAC1hxmG4Aa9kikS0QwEpJA&oe=6248C473&_nc_sid=705020
piyanudin,KAK KAPAN SIH INI KE JOGJANYA KOK AKU GATAU,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/275847384_1172832686587657_5467615403598730819_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=jUwF6gfGVMsAX_n-2KC&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT83jm4XmAQRX6hdeB_htKlGcMH2c7bMGQ6w6FF1YlATNA&oe=62479816&_nc_sid=705020
rdnx205,Dingin ya rin🤣,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/276968178_131326992794617_1954373389249101734_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=5VlFQjZvT-gAX--m25l&tn=Rkw20jy6S7RjaG9b&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT-x81wWbpxDzpbeLgaj2e2y3TujI_JUnPGp-NpsWk5n6Q&oe=6247343B&_nc_sid=705020
zhrara26,@bellabe_19,https://instagram.fcgk3-2.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ad=z-m&_nc_ht=instagram.fcgk3-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=kLQ4jXKOCJIAX91i8Ea&edm=AJ9x6zYBAAAA&ccb=7-4&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4&oh=00_AT97J3Mgo0oYolWEdtuA_dZ7Wu7JglC1Sp_gAxMrJbkAsQ&oe=62485A4F&_nc_sid=cff2a4
nabilaauliazh_,💖💖💖💖,https://instagram.fsrg4-1.fna.fbcdn.net/v/t51.2885-19/193213826_827627244828951_4547206449618050586_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg4-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=RMxOJrImNyUAX__o0F-&edm=AId3EpQBAAAA&ccb=7-4&oh=00_AT9XQ-Un374bnwv1YSBsSKLbFETNZLkZToCipUndUd-SsA&oe=6248E5B6&_nc_sid=705020
